Actual,Default_Probability_Pct,Risk_Level,Loan_Amount_USD,Expected_Loss_USD
0,10.4,Low Risk,396500,41102.47598960996
0,16.8,Low Risk,626500,105185.12783944607
0,12.5,Low Risk,286500,35693.530686199665
0,28.3,Low Risk,286500,81173.89798164368
1,10.8,Low Risk,386500,41724.77502003312
0,56.1,Medium Risk,676500,379410.8881652355
0,43.0,Medium Risk,236500,101610.47203838825
0,22.0,Low Risk,316500,69736.42107099295
0,30.5,Medium Risk,306500,93341.49427711964
0,14.0,Low Risk,726500,101725.4486978054
0,14.4,Low Risk,456500,65714.63089436293
0,32.7,Medium Risk,206500,67437.53053247929
0,18.0,Low Risk,296500,53245.85969746113
0,20.3,Low Risk,476500,96841.54158085585
0,17.1,Low Risk,306500,52559.51517820358
1,100.0,High Risk,426500,426343.96356344223
0,13.2,Low Risk,486500,64386.1860781908
0,24.3,Low Risk,326500,79436.43505871296
0,24.9,Low Risk,116500,29037.26851195097
1,17.7,Low Risk,456500,80744.29922550917
0,22.7,Low Risk,236500,53594.06965970993
0,60.5,Medium Risk,76500,46275.44295787811
0,51.9,Medium Risk,96500,50097.303837537766
0,20.2,Low Risk,386500,78181.32361024618
0,24.3,Low Risk,336500,81843.38507801294
0,18.2,Low Risk,456500,83071.62473350763
0,15.3,Low Risk,356500,54578.890576958656
1,48.4,Medium Risk,296500,143577.4325877428
1,73.0,High Risk,116500,85087.42970228195
0,32.3,Medium Risk,286500,92625.53653120995
0,68.4,High Risk,46500,31786.82389855385
0,64.3,Medium Risk,76500,49218.84709596634
0,30.5,Medium Risk,616500,188044.1529750824
0,29.5,Low Risk,246500,72810.18468737602
0,18.2,Low Risk,316500,57584.83196049929
0,24.2,Low Risk,666500,161168.82403194904
0,62.2,Medium Risk,66500,41370.45830488205
1,85.0,High Risk,206500,175426.46420001984
0,26.1,Low Risk,446500,116373.29617142677
0,34.3,Medium Risk,356500,122450.04305243492
1,99.7,High Risk,146500,146116.28618836403
0,20.8,Low Risk,336500,70048.99330437183
1,100.0,High Risk,136500,136456.53730630875
1,100.0,High Risk,146500,146470.4768359661
1,14.5,Low Risk,516500,74657.74073451757
1,17.8,Low Risk,206500,36695.62500715256
1,38.9,Medium Risk,236500,92068.77775490284
1,89.0,High Risk,186500,166074.4832754135
0,20.6,Low Risk,406500,83624.76506084204
0,14.9,Low Risk,356500,52986.76788061857
0,17.2,Low Risk,406500,69983.77277702093
0,49.7,Medium Risk,86500,43016.79793000221
0,18.8,Low Risk,496500,93496.79408222437
0,16.6,Low Risk,466500,77597.44012355804
0,47.6,Medium Risk,196500,93463.73999118805
0,35.1,Medium Risk,286500,100469.0155684948
0,36.6,Medium Risk,246500,90252.44675576687
1,47.4,Medium Risk,136500,64697.44549691677
1,98.3,High Risk,256500,252183.5414171219
0,28.8,Low Risk,86500,24878.52230668068
0,30.1,Medium Risk,306500,92236.50448024273
1,100.0,High Risk,456500,456477.6881933212
1,48.0,Medium Risk,516500,248159.72347557545
0,19.8,Low Risk,156500,30925.581112504005
0,35.2,Medium Risk,366500,128921.4708507061
0,10.5,Low Risk,516500,53982.94477164745
1,99.8,High Risk,166500,166100.24437308311
1,91.3,High Risk,256500,234098.498493433
0,34.4,Medium Risk,226500,77848.91889989376
0,17.2,Low Risk,586500,100766.18986576796
0,25.8,Low Risk,486500,125346.54514491558
1,68.2,High Risk,46500,31695.934295654297
0,41.8,Medium Risk,176500,73746.51463329792
1,95.8,High Risk,156500,149864.67945575714
0,9.1,Low Risk,646500,58940.724570304155
0,19.8,Low Risk,276500,54616.48504436016
1,100.0,High Risk,146500,146466.98400378227
1,71.8,High Risk,86500,62088.30460906029
0,32.6,Medium Risk,126500,41201.50427520275
0,18.6,Low Risk,316500,59025.35815536976
0,18.3,Low Risk,316500,57799.71697926521
0,22.8,Low Risk,206500,47137.49533891678
0,28.7,Low Risk,546500,157060.6674104929
1,100.0,High Risk,246500,246432.86976218224
0,18.4,Low Risk,546500,100586.55454963446
0,37.8,Medium Risk,156500,59111.43071949482
0,7.3,Low Risk,566500,41260.0009329617
1,26.1,Low Risk,606500,158081.46491646767
1,14.8,Low Risk,486500,71872.69311398268
0,33.0,Medium Risk,346500,114503.02071869373
0,38.8,Medium Risk,136500,52936.368986964226
0,14.7,Low Risk,366500,53948.61005246639
1,100.0,High Risk,146500,146463.89284729958
0,26.7,Low Risk,556500,148349.83813762665
1,100.0,High Risk,156500,156466.95044636726
1,39.9,Medium Risk,286500,114333.89501273632
0,18.2,Low Risk,436500,79471.17526084185
1,30.8,Medium Risk,196500,60473.27645123005
0,40.1,Medium Risk,386500,155118.59260499477
0,24.1,Low Risk,466500,112544.06733065844
0,21.0,Low Risk,356500,74779.5445844531
0,36.4,Medium Risk,356500,129766.98544621468
0,49.6,Medium Risk,766500,379880.2440315485
0,69.0,High Risk,76500,52776.6098678112
0,32.4,Medium Risk,376500,121998.25322628021
1,100.0,High Risk,156500,156444.87076997757
0,36.7,Medium Risk,236500,86820.71480154991
0,22.3,Low Risk,416500,92956.3302397728
0,16.9,Low Risk,476500,80307.63474106789
0,59.3,Medium Risk,326500,193570.6723034382
1,88.9,High Risk,216500,192492.70835518837
0,30.2,Medium Risk,536500,162196.48863375187
0,9.4,Low Risk,526500,49385.21794974804
0,12.1,Low Risk,406500,49123.1159158051
0,21.0,Low Risk,546500,114723.831102252
0,17.7,Low Risk,346500,61211.40995621681
0,55.0,Medium Risk,356500,196062.87103891373
1,100.0,High Risk,86500,86478.41265797615
1,57.2,Medium Risk,416500,238323.18684458733
0,55.7,Medium Risk,66500,37044.1969037056
0,17.8,Low Risk,206500,36737.82421648502
0,21.8,Low Risk,506500,110413.43495249748
0,34.0,Medium Risk,476500,162031.33131563663
0,17.4,Low Risk,346500,60293.82772743702
0,22.3,Low Risk,156500,34901.24745666981
0,48.3,Medium Risk,186500,90056.78026378155
1,30.8,Medium Risk,376500,115841.58016741276
0,18.9,Low Risk,146500,27684.844978153706
0,24.4,Low Risk,296500,72459.02264118195
1,100.0,High Risk,416500,416418.7466800213
0,44.7,Medium Risk,136500,60970.58866918087
0,14.3,Low Risk,386500,55257.53475725651
0,16.9,Low Risk,306500,51943.06569546461
0,22.7,Low Risk,116500,26396.022461354733
0,22.5,Low Risk,276500,62097.90403395891
0,20.9,Low Risk,616500,129149.9610543251
0,42.7,Medium Risk,356500,152054.22767996788
0,26.7,Low Risk,576500,154110.63696444035
0,23.0,Low Risk,456500,104871.98086082935
0,18.1,Low Risk,506500,91899.29747581482
1,71.5,High Risk,226500,161969.71580386162
1,99.8,High Risk,146500,146180.3883910179
0,21.2,Low Risk,206500,43807.2195276618
1,98.1,High Risk,116500,114306.08958005905
0,21.0,Low Risk,456500,95783.17797929049
0,16.7,Low Risk,376500,62895.751520991325
1,100.0,High Risk,266500,266419.8143482208
0,16.9,Low Risk,486500,82170.14628648758
0,16.0,Low Risk,326500,52105.88879138231
0,15.7,Low Risk,726500,114382.39498436451
0,53.8,Medium Risk,196500,105762.88640499115
0,9.9,Low Risk,356500,35219.78152170777
0,32.4,Medium Risk,246500,79888.01701366901
0,35.3,Medium Risk,306500,108221.4145809412
0,14.7,Low Risk,276500,40558.3089068532
1,41.1,Medium Risk,276500,113635.23279130459
0,67.1,High Risk,46500,31198.928117752075
1,69.9,High Risk,536500,375110.2336347103
0,29.1,Low Risk,206500,60192.13491678238
1,100.0,High Risk,636500,636330.4534852505
0,19.7,Low Risk,136500,26928.108394145966
0,37.1,Medium Risk,86500,32088.14287185669
1,100.0,High Risk,446500,446419.12165284157
0,43.9,Medium Risk,226500,99390.84094762802
0,17.3,Low Risk,276500,47795.18750309944
1,34.9,Medium Risk,286500,99949.43895936012
1,26.1,Low Risk,156500,40899.83005821705
0,35.8,Medium Risk,576500,206283.55887532234
0,13.8,Low Risk,176500,24387.358114123344
0,44.7,Medium Risk,216500,96785.22279858589
0,33.7,Medium Risk,186500,62908.09012949467
1,22.7,Low Risk,326500,73974.47098046541
0,18.4,Low Risk,176500,32555.240988731384
0,10.9,Low Risk,486500,52927.800726145506
0,25.2,Low Risk,426500,107469.72706913948
0,16.3,Low Risk,686500,111784.4897955656
0,30.7,Medium Risk,236500,72544.68330740929
0,18.7,Low Risk,206500,38577.28387415409
0,16.1,Low Risk,176500,28371.77564203739
0,23.1,Low Risk,236500,54638.87745887041
0,29.6,Low Risk,226500,67028.779104352
0,33.5,Medium Risk,366500,122660.54438054562
0,44.0,Medium Risk,146500,64475.60387849808
0,10.5,Low Risk,266500,27949.893921613693
0,41.1,Medium Risk,536500,220682.85378813744
0,23.1,Low Risk,76500,17694.482780992985
0,14.2,Low Risk,696500,99168.76955330372
0,38.8,Medium Risk,316500,122646.90609276295
0,37.9,Medium Risk,196500,74526.9975811243
0,37.4,Medium Risk,506500,189648.23688566685
0,20.2,Low Risk,496500,100523.0945572257
0,19.7,Low Risk,446500,87785.19566357136
0,42.1,Medium Risk,296500,124705.27471601963
0,21.6,Low Risk,666500,144180.20525574684
1,100.0,High Risk,226500,226434.86031889915
0,44.1,Medium Risk,96500,42511.14808022976
0,37.8,Medium Risk,346500,130837.38259971142
0,29.7,Low Risk,176500,52433.76965820789
1,100.0,High Risk,106500,106469.71419453621
0,15.2,Low Risk,296500,45044.53793913126
0,28.9,Low Risk,286500,82797.87799715996
0,29.8,Low Risk,86500,25793.847262859344
0,54.5,Medium Risk,46500,25327.09613442421
0,59.9,Medium Risk,236500,141619.58399415016
1,75.2,High Risk,196500,147803.77605557442
0,40.7,Medium Risk,136500,55611.93224787712
0,40.9,Medium Risk,266500,108905.9903472662
1,100.0,High Risk,466500,466389.41726088524
0,33.1,Medium Risk,426500,141035.9660089016
0,52.2,Medium Risk,306500,159881.69258832932
0,41.6,Medium Risk,476500,198393.23510229588
0,42.0,Medium Risk,236500,99255.95504045486
0,25.6,Low Risk,216500,55327.716410160065
1,100.0,High Risk,96500,96474.17995333672
0,21.7,Low Risk,536500,116682.97063559294
1,17.2,Low Risk,296500,51098.272651433945
0,25.9,Low Risk,246500,63792.143031954765
0,23.2,Low Risk,286500,66430.30974268913
1,100.0,High Risk,56500,56490.8264875412
0,20.2,Low Risk,396500,80242.96161532402
0,20.4,Low Risk,236500,48178.39581519365
1,100.0,High Risk,296500,296421.7626154423
0,20.5,Low Risk,386500,79079.47473973036
0,37.1,Medium Risk,636500,236242.0504540205
0,38.3,Medium Risk,466500,178625.42183697224
1,32.5,Medium Risk,296500,96467.77319908142
1,54.1,Medium Risk,166500,90077.83126831055
0,26.4,Low Risk,286500,75726.20742022991
0,20.5,Low Risk,316500,64844.6706533432
0,18.2,Low Risk,276500,50283.23108702898
0,17.5,Low Risk,376500,66059.54394489527
0,33.9,Medium Risk,76500,25910.66600382328
0,18.7,Low Risk,296500,55406.997345387936
0,11.6,Low Risk,696500,81140.46844094992
0,25.3,Low Risk,696500,175923.4139919281
1,100.0,High Risk,386500,386417.0430600643
0,41.4,Medium Risk,326500,135104.33810949326
0,39.4,Medium Risk,396500,156338.7738019228
1,100.0,High Risk,286500,286434.98888611794
0,27.5,Low Risk,266500,73211.55713498592
0,17.4,Low Risk,446500,77700.61188191175
1,100.0,High Risk,156500,156456.48428797722
0,12.3,Low Risk,316500,38790.99991545081
1,98.3,High Risk,396500,389929.8170208931
0,29.5,Low Risk,226500,66742.67077445984
0,16.8,Low Risk,406500,68182.45846778154
0,21.3,Low Risk,236500,50365.64023792744
0,63.4,Medium Risk,56500,35831.54770731926
0,12.4,Low Risk,426500,52696.45731896162
0,40.0,Medium Risk,106500,42631.794065237045
0,45.5,Medium Risk,206500,94028.64502370358
0,26.3,Low Risk,286500,75337.48979866505
0,17.7,Low Risk,206500,36494.37102675438
0,18.8,Low Risk,286500,53918.820977211
0,43.4,Medium Risk,316500,137435.2569580078
0,30.6,Medium Risk,596500,182355.95443844795
0,39.0,Medium Risk,216500,84473.67140650749
0,15.3,Low Risk,416500,63781.32399916649
0,43.7,Medium Risk,136500,59597.779378294945
0,11.9,Low Risk,406500,48497.128028422594
0,24.1,Low Risk,406500,97899.14727956057
0,12.2,Low Risk,706500,85978.57864201069
1,16.1,Low Risk,506500,81622.03397601843
0,22.1,Low Risk,146500,32331.905387341976
1,100.0,High Risk,306500,306392.94469356537
0,23.0,Low Risk,306500,70423.10432344675
1,100.0,High Risk,596500,596298.6922860146
0,27.7,Low Risk,396500,109684.98228490353
0,27.9,Low Risk,296500,82602.98466682434
1,38.7,Medium Risk,236500,91507.92741775513
1,20.5,Low Risk,426500,87260.98117977381
0,15.8,Low Risk,256500,40513.51350545883
1,52.9,Medium Risk,116500,61665.537148714066
0,46.7,Medium Risk,406500,190036.27909719944
0,81.8,High Risk,676500,553669.7542369366
0,22.5,Low Risk,666500,150162.53879666328
0,37.9,Medium Risk,486500,184442.92014837265
0,20.8,Low Risk,206500,43040.971860289574
0,31.9,Medium Risk,296500,94605.92845082283
1,100.0,High Risk,376500,376398.5435664654
0,29.0,Low Risk,226500,65747.47145175934
1,22.8,Low Risk,216500,49433.042004704475
0,18.0,Low Risk,556500,100196.27460837364
1,100.0,High Risk,86500,86482.04234242439
0,37.7,Medium Risk,216500,81687.36505508423
0,18.8,Low Risk,366500,68982.5132265687
1,41.5,Medium Risk,366500,151929.00566756725
0,31.4,Medium Risk,396500,124306.58529698849
0,7.8,Low Risk,516500,40471.48858010769
0,37.8,Medium Risk,236500,89408.09185802937
0,25.2,Low Risk,406500,102423.17332327366
0,25.1,Low Risk,266500,66864.59593474865
0,30.7,Medium Risk,316500,97033.79845619202
0,10.5,Low Risk,466500,49032.9342931509
1,14.9,Low Risk,436500,65029.72733974457
1,100.0,High Risk,726500,726356.7111194134
0,40.5,Medium Risk,246500,99905.43408691883
1,100.0,High Risk,226500,226445.79568505287
0,21.3,Low Risk,106500,22661.40154749155
0,16.9,Low Risk,366500,62116.83786660433
0,24.0,Low Risk,206500,49661.27207130194
0,27.0,Low Risk,276500,74704.56862449646
0,26.1,Low Risk,176500,46141.03706181049
0,33.9,Medium Risk,96500,32730.981454253197
0,34.1,Medium Risk,236500,80649.23956990242
0,15.4,Low Risk,476500,73370.17148733139
0,47.1,Medium Risk,166500,78471.36662900448
0,17.2,Low Risk,86500,14841.41493588686
0,23.2,Low Risk,246500,57144.203551113605
0,21.4,Low Risk,496500,106175.40364712477
0,20.6,Low Risk,206500,42489.323511719704
0,20.9,Low Risk,446500,93298.69574308395
1,57.8,Medium Risk,386500,223261.56783103943
0,22.3,Low Risk,246500,54910.59144586325
1,100.0,High Risk,526500,526342.6200449467
0,13.6,Low Risk,226500,30849.180936813354
1,26.2,Low Risk,296500,77539.15964066982
0,23.9,Low Risk,176500,42156.390719115734
0,63.2,Medium Risk,86500,54649.85924959183
0,21.9,Low Risk,176500,38654.07541394234
0,24.6,Low Risk,236500,58102.365992963314
0,23.8,Low Risk,326500,77713.00548315048
0,9.7,Low Risk,426500,41327.516842633486
0,39.5,Medium Risk,106500,42046.867311000824
0,23.4,Low Risk,226500,52971.44691646099
0,40.5,Medium Risk,166500,67350.32308101654
0,12.2,Low Risk,426500,52025.68240463734
0,17.0,Low Risk,446500,75842.76518970728
0,26.0,Low Risk,346500,90110.88721454144
0,54.5,Medium Risk,176500,96253.87790799141
0,27.5,Low Risk,256500,70495.18270790577
0,30.3,Medium Risk,246500,74642.94743537903
1,17.9,Low Risk,406500,72946.22120261192
1,100.0,High Risk,206500,206447.75101542473
0,84.3,High Risk,266500,224575.72302222252
0,23.4,Low Risk,436500,102093.5430675745
0,17.5,Low Risk,246500,43162.23783791065
0,42.1,Medium Risk,166500,70055.35997450352
0,15.6,Low Risk,656500,102143.30744743347
0,33.7,Medium Risk,346500,116843.047991395
0,27.7,Low Risk,276500,76558.39839577675
0,11.9,Low Risk,296500,35324.94347542524
0,14.7,Low Risk,466500,68486.17456108332
0,52.4,Medium Risk,236500,123810.71624159813
0,29.2,Low Risk,316500,92367.11065471172
0,45.4,Medium Risk,186500,84677.49674618244
0,16.4,Low Risk,396500,65140.05582034588
0,57.6,Medium Risk,56500,32570.68058848381
0,14.7,Low Risk,716500,105150.03932267427
0,29.8,Low Risk,196500,58561.61034107208
0,43.5,Medium Risk,136500,59399.83780682087
1,100.0,High Risk,116500,116455.36434650421
0,11.6,Low Risk,726500,84290.9289598465
0,51.9,Medium Risk,176500,91635.57505607605
1,100.0,High Risk,106500,106472.5834429264
0,74.1,High Risk,56500,41863.5059595108
0,17.4,Low Risk,226500,39482.76051878929
0,33.1,Medium Risk,96500,31895.20052075386
0,11.7,Low Risk,426500,49938.736375421286
0,22.3,Low Risk,536500,119603.15175354481
0,15.3,Low Risk,306500,46955.51699399948
0,9.1,Low Risk,536500,48959.94729176164
0,43.3,Medium Risk,266500,115329.81730997562
0,16.3,Low Risk,486500,79076.34972780943
0,13.7,Low Risk,416500,57106.883853673935
1,34.6,Medium Risk,366500,126875.14181435108
0,54.2,Medium Risk,276500,149982.08823800087
0,23.5,Low Risk,306500,71900.74158459902
1,100.0,High Risk,146500,146462.98471093178
0,17.3,Low Risk,446500,77423.38597774506
0,27.7,Low Risk,266500,73913.22129964828
0,36.1,Medium Risk,336500,121413.72218728065
0,23.7,Low Risk,336500,79698.52855801582
0,12.9,Low Risk,436500,56423.18185418844
0,24.4,Low Risk,296500,72464.32447433472
0,53.2,Medium Risk,76500,40688.30180168152
0,32.3,Medium Risk,226500,73231.52129352093
0,16.5,Low Risk,126500,20907.05282241106
0,12.7,Low Risk,256500,32499.065726995468
0,48.2,Medium Risk,156500,75377.72980332375
0,17.1,Low Risk,546500,93545.93393206596
0,18.4,Low Risk,156500,28775.168016552925
0,7.5,Low Risk,356500,26654.002897441387
0,11.5,Low Risk,576500,66533.06613117456
0,19.0,Low Risk,346500,65764.93383944035
0,14.6,Low Risk,216500,31541.177205741405
0,33.5,Medium Risk,246500,82495.88496983051
0,19.9,Low Risk,126500,25162.26365417242
1,16.5,Low Risk,286500,47370.2277392149
0,61.4,Medium Risk,106500,65373.51393699646
1,100.0,High Risk,126500,126453.90051603317
1,100.0,High Risk,256500,256416.89121723175
0,18.4,Low Risk,166500,30673.513434827328
0,36.5,Medium Risk,416500,151868.95927786827
0,25.1,Low Risk,416500,104730.20441830158
0,64.3,Medium Risk,766500,493196.49213552475
1,86.6,High Risk,346500,299940.1447176933
0,46.5,Medium Risk,116500,54210.716396570206
1,100.0,High Risk,186500,186456.23525977135
0,34.1,Medium Risk,466500,159296.5211123228
0,25.0,Low Risk,156500,39097.677916288376
0,32.4,Medium Risk,326500,105924.91233348846
1,23.3,Low Risk,326500,76030.44383227825
0,46.8,Medium Risk,236500,110643.23338866234
0,14.1,Low Risk,506500,71256.72206282616
0,25.5,Low Risk,306500,78081.60984516144
0,22.3,Low Risk,276500,61759.51026380062
0,20.9,Low Risk,526500,110280.05723655224
0,7.8,Low Risk,476500,37360.24534329772
1,29.4,Low Risk,186500,54896.458089351654
0,12.8,Low Risk,676500,86504.57476079464
1,41.9,Medium Risk,216500,90709.8609060049
1,39.7,Medium Risk,216500,85979.3380945921
0,27.9,Low Risk,166500,46483.691677451134
0,25.5,Low Risk,246500,62891.46064221859
0,41.7,Medium Risk,306500,127946.06249034405
0,25.6,Low Risk,166500,42697.16799259186
0,19.4,Low Risk,266500,51674.398727715015
0,16.6,Low Risk,306500,50972.04574942589
0,30.1,Medium Risk,206500,62225.666627287865
1,32.1,Medium Risk,156500,50292.49361157417
1,99.5,High Risk,116500,115964.399933815
0,20.8,Low Risk,256500,53377.387806773186
0,20.2,Low Risk,486500,98492.27647483349
1,24.6,Low Risk,316500,77758.02793353796
1,52.0,Medium Risk,106500,55420.84667086601
0,25.5,Low Risk,486500,123963.00880610943
1,100.0,High Risk,406500,406351.42600536346
0,19.1,Low Risk,386500,73948.44056665897
1,32.6,Medium Risk,256500,83603.98788750172
0,34.6,Medium Risk,486500,168448.08654487133
0,20.3,Low Risk,186500,37915.38871824741
0,9.8,Low Risk,336500,32907.05047920346
0,30.6,Medium Risk,666500,203672.36073315144
1,54.5,Medium Risk,156500,85295.84208130836
0,24.5,Low Risk,126500,31045.169301331043
0,18.1,Low Risk,286500,51768.3824300766
0,8.2,Low Risk,226500,18488.766130059958
0,32.4,Medium Risk,346500,112411.39751672745
0,11.7,Low Risk,286500,33524.86913278699
0,21.5,Low Risk,256500,55075.0979706645
0,79.8,High Risk,76500,61066.21313095093
1,44.9,Medium Risk,86500,38830.578193068504
0,19.3,Low Risk,356500,68768.31417530775
1,100.0,High Risk,186500,186441.8174624443
1,100.0,High Risk,306500,306405.7328701019
0,11.8,Low Risk,376500,44369.267608970404
0,23.4,Low Risk,486500,114072.75526970625
0,23.6,Low Risk,166500,39225.642532110214
0,20.8,Low Risk,246500,51222.90959209204
1,33.5,Medium Risk,406500,136240.14821648598
0,21.1,Low Risk,236500,49919.849045574665
0,20.6,Low Risk,506500,104336.10190451145
0,21.1,Low Risk,326500,69009.55817103386
0,22.0,Low Risk,336500,74186.7798641324
0,21.6,Low Risk,206500,44633.94124060869
1,58.1,Medium Risk,66500,38662.579238414764
0,42.8,Medium Risk,106500,45583.87930691242
1,100.0,High Risk,156500,156447.445333004
0,11.9,Low Risk,676500,80656.35453164577
0,15.8,Low Risk,606500,95897.47925847769
0,14.1,Low Risk,156500,22081.192210316658
0,25.0,Low Risk,296500,74230.82458972931
0,32.5,Medium Risk,306500,99554.31927740574
0,21.9,Low Risk,126500,27724.338233470917
0,21.3,Low Risk,156500,33345.80561518669
0,39.4,Medium Risk,226500,89155.55423498154
1,54.3,Medium Risk,156500,84979.46000099182
0,25.3,Low Risk,126500,31968.073204159737
0,29.7,Low Risk,156500,46537.549406290054
0,31.9,Medium Risk,316500,100872.1958398819
1,52.6,Medium Risk,126500,66499.38026070595
0,13.0,Low Risk,476500,61820.044830441475
0,14.4,Low Risk,556500,80142.79639720917
0,20.5,Low Risk,626500,128541.75314307213
1,48.0,Medium Risk,226500,108798.00993204117
0,19.6,Low Risk,376500,73868.12679469585
1,45.6,Medium Risk,266500,121451.92351937294
1,69.7,High Risk,86500,60249.57039952278
0,67.5,High Risk,256500,173016.2951052189
0,25.5,Low Risk,206500,52660.4837924242
0,23.3,Low Risk,546500,127282.51759707928
0,30.5,Medium Risk,326500,99438.19963932037
0,17.0,Low Risk,136500,23167.11276769638
1,100.0,High Risk,376500,376365.0389313698
0,55.3,Medium Risk,156500,86487.53827810287
0,27.2,Low Risk,256500,69655.8772623539
0,44.1,Medium Risk,236500,104280.63783049583
0,17.1,Low Risk,286500,48883.285850286484
1,27.4,Low Risk,656500,179818.79495084286
0,24.8,Low Risk,436500,108379.43809479475
0,14.9,Low Risk,556500,83128.94915789366
0,18.1,Low Risk,316500,57154.89685535431
0,34.7,Medium Risk,326500,113288.9523357153
1,31.2,Medium Risk,296500,92373.5916018486
1,94.6,High Risk,406500,384613.9505803585
0,10.7,Low Risk,316500,33974.42128881812
